target,source,flow
03F2260N,01F1960S,33
03F1257S,01F1664S,13
01F1045N,01F1802S,1
03F3670N,01F2089S,1
03F2777N,01F2156S,1
01F1960S,01F2011S,108
03F2415N,01F1664S,1
03F1022S,01F1725S,1
03F1215N,01F1664S,1
01F1465S,01F2011S,27
03F1739S,01F1960S,23
03F1215S,01F1839S,3
01F2249S,01F2249S,1394
01F1906S,01F1664S,3
03F1128N,01F1960S,1
03F2100N,01F2011S,100
03F1485S,01F2322S,6
03F1651S,01F1839S,22
03F0996S,01F1960S,20
03F2153N,01F1802S,1
03F2066N,01F2011S,45
03F3743N,01F2156S,1
01F1960N,01F1045S,1
03F3445N,01F1045S,1
01F1465S,01F1774S,333
03F2194S,01F2156S,81
03F1022S,01F2249S,3
03F0996S,01F1572S,6
01F2603N,01F1960S,1
01F2089N,01F1725S,1
03F1633S,01F1802S,281
03F2261S,01F2249S,1
03F2194S,01F2089S,124
03F1779N,01F1664S,136
03F3743N,01F2089S,1
03F4259N,01F1960S,1
01F1774S,01F1839S,920
01F2394N,01F2011S,1
03F1161N,01F1725S,2
01F1123S,01F1725S,806
03F2535N,01F1960S,13
03F1332S,01F1839S,3
03F1779S,01F2156S,151
03F2125N,01F2322S,4
03F1739N,01F1725S,50
03F3101N,01F1960S,3
03F1779S,01F2089S,140
03F2614N,01F1774S,1
01F3185N,01F1774S,2
01F2156N,01F2156S,6
01F1572S,01F1774S,588
01F1960N,01F1960S,25
01F1725S,01F1725S,3640
01F1664N,01F2249S,1
03F2231N,01F1802S,1
01F1389S,01F1621S,507
03F1710S,01F1664S,16
03F2709S,01F1960S,1
03F1051S,01F2089S,20
01F1572N,01F1725S,1
03F1992N,01F2156S,392
01F1839S,01F2322S,238
01F1725S,01F2249S,123
01F1664N,01F1725S,5
03F1128N,01F1045S,12
01F1802N,01F2156S,1
03F0996S,01F1045S,292
01F1664S,01F2322S,61
01F1292N,01F1292S,4
01F1045S,01F1621S,7
01F1045S,01F1664S,9
03F1739N,01F2249S,2
01F1802S,01F1960S,3932
01F1572S,01F2011S,47
03F1860N,01F1725S,10
01F1389S,01F1664S,546
03F1395S,01F1664S,11
01F1123S,01F2249S,25
01F3640N,01F2156S,1
01F1292S,01F1664S,85
03F2078N,01F1664S,1
01F2011N,01F1621S,1
01F1621S,01F2322S,11
01F2011N,01F1664S,2
03F2260N,01F1045S,1
03F1128S,01F1839S,3
03F1051S,01F2156S,12
03F1992N,01F2089S,630
01F1292S,01F1621S,94
01F2249N,01F1960S,1
01F1465S,01F1621S,251
03F2100N,01F1664S,4
01F1906S,01F2011S,767
03F1128S,01F2249S,10
03F2306N,01F1725S,1
03F0996S,01F1802S,23
03F1332S,01F1725S,158
03F1022N,01F2156S,3
03F1485S,01F2089S,47
01F1465S,01F1664S,220
01F1123S,01F1839S,86
01F1621N,01F1725S,2
01F1621S,01F1906S,4
03F3392N,01F1960S,1
03F1710N,01F1802S,6
01F1664S,01F1906S,13
03F1779N,01F1774S,25
01F1839S,01F1906S,130
03F1022N,01F2089S,2
01F3696N,01F2249S,1
03F1485S,01F2156S,29
03F1739N,01F1839S,1
01F1774N,01F1725S,2
03F2066S,01F2249S,6
01F1045N,01F1960S,2
01F1725S,01F1839S,620
03F2415N,01F2011S,2
03F1257S,01F2011S,13
03F2194S,01F2322S,24
01F3590N,01F1839S,1
01F1045S,01F1123S,54
03F1779N,01F2011S,2
03F1860N,01F1839S,3
03F1257S,01F1774S,25
03F1051N,01F1465S,3
03F2336N,01F1774S,1
03F1332S,01F2249S,8
01F1123N,01F1123S,5
03F1633S,01F1960S,108
03F2153N,01F1960S,128
03F4232N,01F1664S,1
01F1774S,01F2249S,216
03F2306N,01F2249S,4
03F1128S,01F1725S,102
03F1022N,01F1465S,38
03F1022N,01F1292S,87
01F1045S,01F1774S,11
03F1779S,01F2322S,26
03F2231N,01F1960S,41
01F1389S,01F1774S,900
03F2125N,01F2156S,5
03F1710S,01F1774S,6
03F1022N,01F1389S,27
01F3227N,01F1960S,1
01F2011S,01F2249S,541
01F2011N,01F1774S,1
03F1944S,01F2011S,281
03F1215S,01F1725S,153
03F1051N,01F1292S,3
03F2923N,01F2249S,1
01F1774S,01F2011S,481
03F1651S,01F1725S,1530
03F1051N,01F1045S,7
03F1395S,01F1774S,16
01F2394N,01F1664S,1
01F1292S,01F1774S,108
01F1802S,01F2322S,331
03F1051N,01F1389S,2
03F2078N,01F1774S,2
03F1161S,01F2156S,1
03F1051S,01F1802S,32
03F1215N,01F1123S,2
03F2129S,01F1725S,1
01F1725N,01F2249S,2
03F2336N,01F1725S,3
03F2125N,01F2089S,10
03F1651S,01F2249S,39
01F1045N,01F1045S,20
03F2231N,01F2089S,89
03F1332S,01F1774S,85
01F2011N,01F2011S,9
01F2249N,01F1802S,1
03F1161S,01F1960S,1
01F1725N,01F1725S,31
01F1906S,01F2249S,201
03F1128S,01F2011S,33
03F2129S,01F2249S,126
03F2336N,01F2249S,1
01F2089N,01F1664S,2
01F1621S,01F2089S,43
03F1215S,01F2249S,12
03F1395S,01F2011S,6
01F1774S,01F1774S,3803
01F1839S,01F2156S,836
03F1860S,01F2249S,110
03F1992N,01F2322S,81
01F1292S,01F2011S,12
03F2078N,01F2011S,97
01F1664S,01F2156S,118
03F2923N,01F1725S,1
03F2194N,01F1725S,2
01F1621S,01F2156S,16
01F1572S,01F1664S,492
03F1051S,01F2322S,16
01F1389S,01F2011S,97
01F1572S,01F1839S,103
